Feature	Pfam
Pfam_304	GO:0006801;GO:0046872
Pfam_305	GO:0006801;GO:0046872
Pfam_306	GO:0000287;GO:0008897
Pfam_307	GO:0004318;GO:0055114
Pfam_308	GO:0006537;GO:0015930;GO:0016638;GO:0055114
Pfam_309	GO:0016491;GO:0055114
Pfam_310	GO:0016491;GO:0055114
Pfam_311	GO:0006807;GO:0015930;GO:0055114
Pfam_312	GO:0004190;GO:0016021;GO:0016485
Pfam_313	GO:0008237;GO:0008270
Pfam_314	GO:0008237;GO:0008270
Pfam_315	GO:0005634;GO:0051726
Pfam_316	GO:0005634;GO:0051726
Pfam_317	GO:0005524
Pfam_318	GO:0003676;GO:0008270
Pfam_319	GO:0003676;GO:0008270
Pfam_320	GO:0003676;GO:0008270
Pfam_321	GO:0003676;GO:0008270
Pfam_322	GO:0016020;GO:0016021
Pfam_323	GO:0016020;GO:0016021
Pfam_324	GO:0004190;GO:0016021
Pfam_325	GO:0005509
Pfam_326	GO:0005509
Pfam_327	GO:0005509
Pfam_328	GO:0005509
Pfam_329	GO:0007154;GO:0016021
Pfam_330	GO:0007154;GO:0016021
Pfam_331	GO:0007154;GO:0016021
Pfam_332	GO:0007154;GO:0016021
Pfam_333	GO:0007154;GO:0016021
Pfam_334	GO:0007154;GO:0016021
Pfam_335	GO:0005524
Pfam_336	GO:0005515
Pfam_337	GO:0005515
Pfam_338	GO:0005515
Pfam_339	GO:0005515
Pfam_340	GO:0005515
Pfam_341	GO:0005515
Pfam_342	GO:0005634
Pfam_343	GO:0005634
Pfam_344	GO:0005524
Pfam_345	GO:0005337;GO:0016021;GO:1901642
Pfam_346	GO:0004672;GO:0005524;GO:0006468
Pfam_347	GO:0004672;GO:0005524;GO:0006468
Pfam_348	GO:0004672;GO:0005524;GO:0006468
Pfam_349	GO:0007154;GO:0016021
Pfam_350	GO:0007154;GO:0016021
Pfam_351	GO:0007154;GO:0016021
Pfam_352	GO:0007154;GO:0016021
Pfam_353	GO:0005509
Pfam_354	GO:0005509
Pfam_355	GO:0016747
Pfam_356	GO:0016747
Pfam_357	GO:0005515
Pfam_358	GO:0005515
Pfam_359	GO:0005515
Pfam_360	GO:0005515
Pfam_361	GO:0005515
Pfam_362	GO:0005515
Pfam_363	GO:0005515
Pfam_364	GO:0005515
Pfam_365	GO:0004672;GO:0005524;GO:0006468
Pfam_366	GO:0005515
Pfam_367	GO:0005515
Pfam_368	GO:0004672;GO:0006468
Pfam_369	GO:0043087
Pfam_370	GO:0043087
Pfam_371	GO:0004672;GO:0005524;GO:0006468
Pfam_372	GO:0005515
Pfam_373	GO:0005515
Pfam_374	GO:0005515
Pfam_375	GO:0005515
Pfam_376	GO:0005515
Pfam_377	GO:0005515
Pfam_378	GO:0009058;GO:0016779
Pfam_379	GO:0003779;GO:0016043
Pfam_380	GO:0003779;GO:0017048;GO:0030036
Pfam_381	GO:0005515
Pfam_382	GO:0003774;GO:0005524;GO:0016459
Pfam_383	GO:0003774;GO:0016459
Pfam_384	GO:0016021
Pfam_385	GO:0005524;GO:0016887
Pfam_386	GO:0005524;GO:0016887
Pfam_387	GO:0004672;GO:0005524;GO:0006468
Pfam_388	GO:0004672;GO:0005524;GO:0006468
Pfam_389	GO:0003677;GO:0006303
Pfam_390	GO:0003677;GO:0003678;GO:0006303
Pfam_391	GO:0005524;GO:0016887
Pfam_392	GO:0005524;GO:0016887
Pfam_393	GO:0005515
Pfam_394	GO:0005524
Pfam_395	GO:0003676
Pfam_396	GO:0003676;GO:0005524
Pfam_397	GO:0004386
Pfam_398	GO:0015078;GO:0033180;GO:1902600
Pfam_399	GO:0003924
Pfam_400	GO:0004672;GO:0005524;GO:0006468
Pfam_401	GO:0005515
Pfam_402	GO:0004672;GO:0005524;GO:0006468
Pfam_403	GO:0006886
Pfam_404	GO:0046872
Pfam_405	GO:0000166;GO:0003677
Pfam_406	GO:0000166;GO:0003677
Pfam_407	GO:0005096
Pfam_408	GO:0005524;GO:0016887
Pfam_409	GO:0003677;GO:0006275
Pfam_410	GO:0003677;GO:0006275
Pfam_411	GO:0005515
Pfam_412	GO:0005515
Pfam_413	GO:0007165
Pfam_414	GO:0005515
Pfam_415	GO:0016021;GO:0055085
Pfam_416	GO:0005634;GO:0006974;GO:0048478
Pfam_417	GO:0005524
Pfam_418	GO:0022857;GO:0043190;GO:0055085
Pfam_419	GO:0004930;GO:0007186;GO:0016021
Pfam_420	GO:0005524
Pfam_421	GO:0005216;GO:0006811;GO:0016020;GO:0055085
Pfam_422	GO:0005515
Pfam_423	GO:0005515
Pfam_424	GO:0005515
Pfam_425	GO:0005515
Pfam_426	GO:0005515
Pfam_427	GO:0005515
Pfam_428	GO:0005515
Pfam_429	GO:0005515
Pfam_430	GO:0005515
Pfam_431	GO:0004672;GO:0006468
Pfam_432	GO:0007165
Pfam_433	GO:0005085;GO:0007264
Pfam_434	GO:0005509
Pfam_435	GO:0005247;GO:0006821;GO:0016020;GO:0055085
Pfam_436	GO:0005247;GO:0006821;GO:0016020;GO:0055085
Pfam_437	GO:0007165
Pfam_438	GO:0005085;GO:0007264
Pfam_439	GO:0005515
Pfam_440	GO:0005515
Pfam_441	GO:0005515
Pfam_442	GO:0005515
Pfam_443	GO:0005515
Pfam_444	GO:0005515
Pfam_445	GO:0005515
Pfam_446	GO:0005198;GO:0006886;GO:0016192;GO:0030117
Pfam_447	GO:0004672;GO:0006468
Pfam_448	GO:0003735;GO:0005840;GO:0006412
Pfam_449	GO:0004672;GO:0005524;GO:0006468
Pfam_450	GO:0004672;GO:0005524;GO:0006468
Pfam_451	GO:0004672;GO:0005524;GO:0006468
Pfam_452	GO:0004672;GO:0005524;GO:0006468
Pfam_453	GO:0005515
Pfam_454	GO:0009190;GO:0016849;GO:0035556
Pfam_455	GO:0005524;GO:0006298;GO:0030983
Pfam_456	GO:0005524;GO:0006298;GO:0030983
Pfam_457	GO:0005524;GO:0006298;GO:0030983
Pfam_458	GO:0005524;GO:0006298;GO:0030983
Pfam_459	GO:0005524;GO:0006298;GO:0030983
Pfam_460	GO:0046872
Pfam_461	GO:0005515
Pfam_462	GO:0005515
Pfam_463	GO:0005515
Pfam_464	GO:0005515
Pfam_465	GO:0005515
Pfam_466	GO:0005515
Pfam_467	GO:0005515
Pfam_468	GO:0005515
Pfam_469	GO:0005515
Pfam_470	GO:0005515
Pfam_471	GO:0005515
Pfam_472	GO:0005515
Pfam_473	GO:0005515
Pfam_474	GO:0005515
Pfam_475	GO:0005515
Pfam_476	GO:0005515
Pfam_477	GO:0005515
Pfam_478	GO:0005515
Pfam_479	GO:0005515
Pfam_480	GO:0005515
Pfam_481	GO:0005515
Pfam_482	GO:0004672;GO:0005524;GO:0006468
Pfam_483	GO:0005085;GO:0007264
Pfam_484	GO:0003676
Pfam_485	GO:0000166;GO:0004812;GO:0005524;GO:0006418
Pfam_486	GO:0016307;GO:0046488
Pfam_487	GO:0008270
Pfam_488	GO:0008270
Pfam_489	GO:0003677;GO:0003916;GO:0006265
Pfam_490	GO:0003676;GO:0008270
Pfam_491	GO:0016787
Pfam_492	GO:0005515
Pfam_493	GO:0005515
Pfam_494	GO:0004672;GO:0006468
Pfam_495	GO:0005515
Pfam_496	GO:0005515
Pfam_497	GO:0005515
Pfam_498	GO:0005515
Pfam_499	GO:0005515
Pfam_500	GO:0005515
Pfam_501	GO:0004672;GO:0005524;GO:0006468
Pfam_502	GO:0005515
Pfam_503	GO:0005515
Pfam_504	GO:0005515
Pfam_505	GO:0005515
Pfam_506	GO:0005515
Pfam_507	GO:0005515
Pfam_508	GO:0005515
Pfam_509	GO:0005515
Pfam_510	GO:0005515
Pfam_511	GO:0035091
Pfam_512	GO:0005524;GO:0016021;GO:0042626;GO:0055085
Pfam_513	GO:0005524;GO:0016021;GO:0042626;GO:0055085
Pfam_514	GO:0005524;GO:0016887
Pfam_515	GO:0005524;GO:0016887
Pfam_516	GO:0004553;GO:0005975
Pfam_517	GO:0004553;GO:0005975
Pfam_518	GO:0016020
Pfam_519	GO:0004842
Pfam_520	GO:0005515
Pfam_521	GO:0005515
Pfam_522	GO:0005515
Pfam_523	GO:0005515
Pfam_524	GO:0005515
Pfam_525	GO:0005515
Pfam_526	GO:0003676;GO:0005524
Pfam_527	GO:0005737;GO:0016627;GO:0055114
Pfam_528	GO:0004512;GO:0006021;GO:0008654
Pfam_529	GO:0006812;GO:0008324;GO:0055085
Pfam_530	GO:0003676
Pfam_531	GO:0003676
Pfam_532	GO:0003676
Pfam_533	GO:0005089;GO:0035023
Pfam_534	GO:0046872
Pfam_535	GO:0003676
Pfam_536	GO:0003676
Pfam_537	GO:0003676
Pfam_538	GO:0007165
Pfam_539	GO:0007165
Pfam_540	GO:0007165
Pfam_541	GO:0005096
Pfam_542	GO:0005524
Pfam_543	GO:0005216;GO:0006811;GO:0016020;GO:0055085
Pfam_544	GO:0005262;GO:0016020;GO:0070588
Pfam_545	GO:0005262;GO:0016020;GO:0070588
Pfam_546	GO:0016020
Pfam_547	GO:0005515
Pfam_548	GO:0005515
Pfam_549	GO:0006886
Pfam_550	GO:0005515;GO:0008536
Pfam_551	GO:0006886;GO:0008536
Pfam_552	GO:0003677;GO:0005524;GO:0016787
Pfam_553	GO:0003824
Pfam_554	GO:0004806;GO:0006629
Pfam_555	GO:0006629
Pfam_556	GO:0006397
Pfam_557	GO:0004842
Pfam_558	GO:0005515
Pfam_559	GO:0016491;GO:0050660;GO:0055114
Pfam_560	GO:0016021
Pfam_561	GO:0005887;GO:0055085
Pfam_562	GO:0008483;GO:0030170
Pfam_563	GO:0006801;GO:0046872
Pfam_564	GO:0005515
Pfam_565	GO:0005515
Pfam_566	GO:0005515
Pfam_567	GO:0005515
Pfam_568	GO:0000155;GO:0007165
Pfam_569	GO:0000155;GO:0007165
Pfam_570	GO:0000160
Pfam_571	GO:0000160
Pfam_572	GO:0003676
Pfam_573	GO:0003676
Pfam_574	GO:0004672;GO:0005524;GO:0006468
Pfam_575	GO:0003723;GO:0004000;GO:0006396
Pfam_576	GO:0005515
Pfam_577	GO:0005515
Pfam_578	GO:0004842
Pfam_579	GO:0004420;GO:0015936;GO:0050662;GO:0055114
Pfam_580	GO:0005887;GO:0055085
Pfam_581	GO:0005515
Pfam_582	GO:0005515
Pfam_583	GO:0005515
Pfam_584	GO:0004672;GO:0006468
Pfam_585	GO:0016787
Pfam_586	GO:0005089;GO:0035023
Pfam_587	GO:0004375;GO:0006546;GO:0055114
Pfam_588	GO:0004375;GO:0006546;GO:0055114
Pfam_589	GO:0004017
Pfam_590	GO:0004672;GO:0006468
Pfam_591	GO:0005515
Pfam_592	GO:0003676;GO:0005524
Pfam_593	GO:0006606;GO:0061608
Pfam_594	GO:0005515
Pfam_595	GO:0005515
Pfam_596	GO:0005515
Pfam_597	GO:0005515
Pfam_598	GO:0005975
Pfam_599	GO:0005515
Pfam_600	GO:0005515
Pfam_601	GO:0005856
Pfam_602	GO:0005856
Pfam_603	GO:0003774;GO:0005524;GO:0016459
Pfam_604	GO:0005515
Pfam_605	GO:0005515
Pfam_606	GO:0007165
Pfam_607	GO:0003676
Pfam_608	GO:0003676
Pfam_609	GO:0003676
Pfam_610	GO:0035556
