Feature	Pfam
Pfam_391	GO:0009522;GO:0009538;GO:0015979
Pfam_392	GO:0004601;GO:0006979;GO:0020037;GO:0055114
Pfam_393	GO:0016491;GO:0055114
Pfam_394	GO:0003676;GO:0005524
Pfam_395	GO:0030001;GO:0046872
Pfam_396	GO:0004553;GO:0005975
Pfam_397	GO:0003676
Pfam_398	GO:0005515
Pfam_399	GO:0005515
Pfam_400	GO:0005515
Pfam_401	GO:0005515
Pfam_402	GO:0005515
Pfam_403	GO:0003735;GO:0005840;GO:0006412
Pfam_404	GO:0005524;GO:0016887
Pfam_405	GO:0005524;GO:0016021;GO:0042626;GO:0055085
Pfam_406	GO:0016021;GO:0055085
Pfam_407	GO:0016021;GO:0055085
Pfam_408	GO:0003723
Pfam_409	GO:0003723
Pfam_410	GO:0005515
Pfam_411	GO:0005515
Pfam_412	GO:0005515
Pfam_413	GO:0005515
Pfam_414	GO:0005515
Pfam_415	GO:0005515
Pfam_416	GO:0005515
Pfam_417	GO:0005515
Pfam_418	GO:0005515
Pfam_419	GO:0003735;GO:0005840;GO:0006412
Pfam_420	GO:0005515
Pfam_421	GO:0005515
Pfam_422	GO:0005515
Pfam_423	GO:0005515
Pfam_424	GO:0005515
Pfam_425	GO:0005515
Pfam_426	GO:0003723;GO:0003724;GO:0005524;GO:0005634
Pfam_427	GO:0003676;GO:0005524
Pfam_428	GO:0003824
Pfam_429	GO:0004672;GO:0005524;GO:0006468
Pfam_430	GO:0016021;GO:0022857;GO:0055085
Pfam_431	GO:0016021;GO:0022857;GO:0055085
Pfam_432	GO:0003333
Pfam_433	GO:0003777;GO:0005524;GO:0007018;GO:0008017
Pfam_434	GO:0005524
Pfam_435	GO:0005216;GO:0006811;GO:0016020;GO:0055085
Pfam_436	GO:0009496;GO:0042651;GO:0051537;GO:0055114
Pfam_437	GO:0016491;GO:0051537;GO:0055114
Pfam_438	GO:0005515
Pfam_439	GO:0003677;GO:0005524;GO:0016787
Pfam_440	GO:0003676;GO:0005524
Pfam_441	GO:0004553;GO:0005975
Pfam_442	GO:0004672;GO:0005524;GO:0006468
Pfam_443	GO:0005524
Pfam_444	GO:0003989;GO:0005524;GO:0006633
Pfam_445	GO:0003989;GO:0005524;GO:0006633
Pfam_446	GO:0016787
Pfam_447	GO:0005524
Pfam_448	GO:0004222;GO:0005524;GO:0006508
Pfam_449	GO:0009116
Pfam_450	GO:0004590;GO:0006207
Pfam_451	GO:0016491;GO:0050660;GO:0055114
Pfam_452	GO:0003824;GO:0050660
Pfam_453	GO:0035556
Pfam_454	GO:0005515
Pfam_455	GO:0005975;GO:0016853
Pfam_456	GO:0005975;GO:0016853
Pfam_457	GO:0045454
Pfam_458	GO:0004842;GO:0016567
Pfam_459	GO:0004402;GO:0006355;GO:0016573
Pfam_460	GO:0005515
Pfam_461	GO:0003735;GO:0005840;GO:0006412
Pfam_462	GO:0005515
Pfam_463	GO:0004842;GO:0016567
Pfam_464	GO:0016020
Pfam_465	GO:0005515
Pfam_466	GO:0016021;GO:0055085
Pfam_467	GO:0003676
Pfam_468	GO:0006508;GO:0008234
Pfam_469	GO:0000786;GO:0003677;GO:0005634;GO:0006334
Pfam_470	GO:0003755
Pfam_471	GO:0005524
